愛;あい;love
決心;けっしん;determination, resolution
欠席;けっせき;absence, non-attendance
決定;けってい;decision, determination
欠点;けってん;faults, defect, weakness
月末;げつまつ;end of the month
結論;けつろん;reason, sum up, conclude
気配;けはい;indication, market trend, worry 
下品;げひん;inferior article
煙い;けむい;smoky
煙;けむり;smoke, fumes
蹴る;ける;kick
険しい;けわしい;inaccessible place, impregnable position, steep place, sharp eyes
券;けん;ticket, coupon, bond, certificate
県;けん;prefecture
~権;~けん;right (to), authorization
現~;げん~;manifestation, appearance, actualization
喧嘩;けんか;*a quarrel, a fight, failure ;
見解;けんかい;opinion, point of view
限界;げんかい;limit, bound
見学;けんがく;inspection, study by observation, field trip
謙虚;けんきょ;modesty, humility
現金;げんきん;cash, ready money, mercenary, self-interested
言語;げんご;language
健康;けんこう;health, sound, wholesome
原稿;げんこう;manuscript, copy
検査;けんさ;inspection (e.g. customs, factory), examination
現在;げんざい;present, up to now, nowadays, modern times, current
原産;げんさん;place of origin, habitat
原始;げんし;origin, primeval
現実;げんじつ;reality
研修;けんしゅう;training
厳重;げんじゅう;strict, severe, firm, strong, secure, rigour
現象;げんしょう;phenomenon
現状;げんじょう;present condition, existing state, status quo
建設;けんせつ;construction, establishment
謙遜;けんそん;humble, humility, modesty
現代;げんだい;nowadays, modern times, present-day
建築;けんちく;construction, architecture
県庁;けんちょう;prefectural office
限度;げんど;limit, bounds
見当;けんとう;be found, aim, mark, estimate, guess, approximation, direction,
検討;けんとう;consideration, examination, investigation, study, scrutiny
現に;げんに;actually, really
現場;げんば;actual spot, scene, scene of the crime 
顕微鏡;けんびきょう;microscope
憲法;けんぽう;constitution
懸命;けんめい;eagerness, earnestness, risking one's life
権利;けんり;right, privilege
原理;げんり;principle, theory, fundamental truth
原料;げんりょう;raw materials
小~;こ~;small
~湖;~こ;lake
語;ご;language, word
後;ご;after
碁;ご;go (board game)
~御;~ご;(polite term for another's) 
恋;こい;love, tender passion
濃い;こい;thick (as of color, liquid), dense, strong
恋しい;こいしい;dear, beloved, darling,yearned for
恋人;こいびと;lover, sweetheart
高~;こう~;high 
~校;~こう;school
~港;~こう;port
~号;~ごう;number, code, light
工員;こういん;factory worker
強引;ごういん;overbearing, coercive, pushy, high-handed
幸運;こううん;good luck, fortune 
講演;こうえん;lecture, address
効果;こうか;effect, effectiveness, efficacy, result
硬貨;こうか;coin
高価;こうか;high price
豪華;ごうか;wonderful, gorgeous, splendor, pomp, extravagance
公害;こうがい;public nuisance, pollution
合格;ごうかく;success, passing (e.g. exam), eligibility
交換;こうかん;exchange, interchange, reciprocity, barter, substitution
高級;こうきゅう;high class, high grade
公共;こうきょう;public, community, public service, society, communal
航空;こうくう;aviation, flying
光景;こうけい;scene, spectacle
工芸;こうげい;industrial arts
合計;ごうけい;sum total, total amount
攻撃;こうげき;attack, strike, offensive, criticism, censure
貢献;こうけん;contribution, services
孝行;こうこう;filial piety
広告;こうこく;advertisement
交差;こうさ;cross
交際;こうさい;company, friendship, association, society, acquaintance
交差点;こうさてん;crossing, intersection 
講師;こうし;lecturer
工事;こうじ;construction work
公式;こうしき;formula, formality, official
口実;こうじつ;excuse
こうして;こうして;（接）
校舎;こうしゃ;school building
後者;こうしゃ;the latter
公衆;こうしゅう;the public
工場;こうば;factory, plant, mill, workshop
香水;こうすい;perfume
公正;こうせい;justice, fairness, impartiality
構成;こうせい;organization, composition
功績;こうせき;achievements, merit, meritorious service, meritorious deed
光線;こうせん;beam, light ray
高層;こうそう;upper
構造;こうぞう;structure, construction
高速;こうそく;high speed, high gear
交替;こうたい;alternation, change, shift, relief, relay 
耕地;こうち;arable land
紅茶;こうちゃ;black tea
交通機関;こうつうきかん;transportation facilities
校庭;こうてい;campus
肯定;こうてい;positive, affirmation
高度;こうど;altitude, height, advanced
高等;こうとう;high class, high grade
行動;こうどう;action, conduct, behaviour, mobilization
強盗;ごうとう;robbery, burglary
合同;ごうどう;combination, incorporation, union, amalgamation, fusion, congruence
後輩;こうはい;junior (at work or school)
公表;こうひょう;official announcement, proclamation
幸福;こうふく;happiness, blessedness
鉱物;こうぶつ;mineral
公平;こうへい;fairness, impartial, justice
候補;こうほ;candidacy
公務;こうむ;official business, public business;
項目;こうもく;item
紅葉;こうよう;autumn colours
合理;ごうり;rational
交流;こうりゅう;alternating current, intercourse, (cultural) exchange, intermingling
合流;ごうりゅう;confluence, union, linking up, merge
考慮;こうりょ;consideration, taking into account
効力;こうりょく;effect, efficacy, validity, potency
越える, 超える;こえる;exceed, cross over, cross, pass through, pass over (out of) 
ごえんりょなく;ごえんりょなく;（感）
コース;コース;course
コーチ;コーチ;coach
コード;コード;code, cord, chord
コーヒー;コーヒー;coffee
コーラス;コーラス;chorus
氷;こおり;ice
凍る;こおる;freeze, be frozen over, congeal 
ゴール;ゴール;goal
誤解;ごかい;misunderstanding
語学;ごがく;language study
焦がす;こがす;burn, scorch, singe, char
呼吸;こきゅう;breath, respiration, knack, trick, secret (of doing something)
故郷;こきょう;home town, birthplace, old or historic village
~国;~こく;nation, country
極;ごく;pole, climax, extreme, extremity, culmination, height, zenith, nadir
国王;こくおう;king
国語;こくご;national language
国籍;こくせき;nationality
黒板;こくばん;blackboard
克服;こくふく;subjugation, conquest
国民;こくみん;people, citizen
穀物;こくもつ;grain, cereal, corn
国立;こくりつ;national
ごくろうさま;ごくろうさま;I appreciate your efforts
焦げる;こげる;burn, be burned
凍える;こごえる;freeze, be chilled, be frozen
心当たり;こころあたり;having some knowledge of, happening to know
心得る;こころえる;be informed, have thorough knowledge
腰;こし;hip
腰掛け;こしかけ;seat, bench 
腰掛ける;こしかける;sit (down)
五十音;ごじゅうおん;the Japanese syllabary
胡椒;こしょう;pepper
こしらえる;こしらえる;make, manufacture
個人;こじん;individual, personal, private
越す;こす;go over (e.g. with audience)
超す;こす;cross, pass, tide over
擦る;こする;rub, scrub
ごぞんじですか;ごぞんじですか;（感）
個体;こたい;an individual
答;こたえ;answer, response
御馳走;ごちそう;*feast, treating (someone);
ごちそうさま;ごちそうさま;feast
こちらこそ;こちらこそ;it is I who should say so
国家;こっか;state, country, nation
国会;こっかい;National Diet, parliament, congress
小遣い;こづかい;personal expenses, pocket money, spending money, incidental expenses, allowance
国境;こっきょう;national or state border
コック;コック;cook, tap, spigot, faucet, cock
骨折;こっせつ;bone fracture
こっそり;こっそり;stealthily, secretly
小包;こづつみ;parcel, package 
古典;こてん;old book, classic, classics
事;こと;*thing, matter, fact, circumstances, business, reason, experience;
琴;こと;koto (Japanese harp)
~毎;~ごと;each respectively
~ごと;~ごと;wholly, in its entirety
言付ける;ことづける;send word, send a message
異なる;ことなる;differ, vary, disagree
言葉遣い;ことばづかい;speech, expression, wording
諺;ことわざ;proverb, maxim
断る;ことわる;refuse, reject, dismiss, turn down, decline, inform, give notice, ask leave, excuse oneself (from)
粉;こな;flour, meal, powder
こないだ;こないだ;the other day, lately, recently 
好み;このみ;liking, taste, choice
好む;このむ;like, prefer
コピー;コピー;(photo)copy, blurb on a book jacket
御無沙汰;ごぶさた;not writing or contacting for a while
こぼす;こぼす;spill
こぼれる;こぼれる;overflow, spill
塵;ごみ;*rubbish, trash, garbage ;
塵芥;ごみ;rubbish, trash, garbage 
~込む;~こむ;be crowded
ゴム;ゴム;gum, rubber, eraser
小麦;こむぎ;wheat
御免;ごめん;your pardon, declining (something), dismissal, permission 
ごめんください;ごめんください;May I come in?
ごめんなさい;ごめんなさい;I beg your pardon, excuse me
小屋;こや;hut, cabin, shed, (animal) pen
小指;こゆび;little finger
こらえる;こらえる;bear, stand, endure, put up with
娯楽;ごらく;pleasure, amusement
御覧;ごらん;look, inspection, try 
コレクション;コレクション;collection, correction
これら;これら;these
頃;ころ;time, about, toward, approximately (time)
転がす;ころがす;roll (transitive)
転がる;ころがる;roll, tumble
殺す;ころす;kill
転ぶ;ころぶ;fall down, fall over 
紺;こん;navy blue, deep blue
今~;こん~;this, the present
今回;こんかい;now, this time, lately
コンクール;コンクール;contest (French: concours)
コンクリート;コンクリート;concrete (noun)
今後;こんご;from now on, hereafter
混合;こんごう;mixing, mixture
混雑;こんざつ;confusion, congestion
コンセント;コンセント;consent, concentric, electrical outlet (concentric plug)
献立;こんだて;menu, program, schedule
こんなに;こんなに;so, like this, in this way
困難;こんなん;difficulty, distress
今日;こんにち;today 
こんにちは;こんにちは;hello, good day (daytime greeting)
こんばんは;こんばんは;good evening
コンピューター;コンピューター;computer
婚約;こんやく;engagement, betrothal
混乱;こんらん;disorder, chaos, confusion, mayhem
差;さ;difference, variation
サークル;サークル;circle, sports club (at a company)
サービス;サービス;service, support system, free goods or services
際;さい;edge, brink, verge, side
再~;さい~;re-, again, repeated
最~;さい~;the most, the extreme
~祭;~さい;festival
在学;ざいがく;(enrolled) in school
最高;さいこう;highest, supreme, the most
再三;さいさん;again and again, repeatedly
財産;ざいさん;property, fortune, assets
祭日;さいじつ;national holiday, festival day
最終;さいしゅう;last, final, closing
催促;さいそく;request, demand, claim, urge (action), press for
最中;さいちゅう;in the middle of, height of, midst
最低;さいてい;least, lowest, worst, nasty, disgusting, horrible, yuck! 
採点;さいてん;marking, grading, looking over
災難;さいなん;calamity, misfortune
才能;さいのう;talent, ability
裁判;さいばん;trial, judgement
裁縫;さいほう;sewing
材木;ざいもく;lumber, timber
材料;ざいりょう;ingredients, material
サイレン;サイレン;siren
幸い;さいわい;happiness, blessedness
サイン;サイン;autograph, signature, sign, sine
坂;さか;slope, hill
境;さかい;border, boundary, mental state
逆さ;さかさ;reverse, inversion, upside down
逆様;さかさま;inversion, upside down
捜す;さがす;search, seek, look for 
遡る;さかのぼる;go back, go upstream, make retroactive 
酒場;さかば;bar, bar-room
逆らう;さからう;go against, oppose, disobey, defy
盛り;さかり;summit, peak, prime
下る;さがる;hang down, abate, retire, fall, step back
さきおととい;さきおととい;two days before yesterday
先程;さきほど;some time ago
作業;さぎょう;work, operation, manufacturing, fatigue duty
裂く;さく;to tear, split
昨;さく;last (year), yesterday
索引;さくいん;index, indices
作者;さくしゃ;author
削除;さくじょ;elimination, cancellation, deletion, erasure
作成;さくせい;frame, draw up, make, producing, creating, preparing, writing,
作製;さくせい;manufacture
作品;さくひん;work, opus, performance, production
作物;さくもつ;literary work
桜;さくら;cherry blossom, cherry tree
探る;さぐる;search, look for, sound out
酒;さけ;alcohol, sake 
叫ぶ;さけぶ;shout, cry out
避ける;さける;avoid (situation), ward off, to avert
下げる;さげる;hang, lower, move back, wear, dismiss, grant
支える;ささえる;support, prop up
囁く;ささやく;whisper, murmur
刺さる;ささる;stick, be stuck
匙;さじ;spoon
座敷;ざしき;tatami room
差し支え;さしつかえ;hindrance, impediment 
差し引き;さしひき;deduction, subtraction, balance, ebb and flow, rise and fall
刺身;さしみ;sliced raw fish
刺す;さす;pierce, stab, prick, thrust, bite, sting, pin down
差す;さす;*raise (stretch out) hands, to raise umbrella
指す;さす;*to point, put up umbrella, to play;
挿す;さす;to insert, put in, graft
注す;さす;pour or serve (drinks);
射す;さす;to shine, to strike
流石;さすが;clever, adept, good, expectations, as one would expect
座席;ざせき;seat
誘う;さそう;invite, call out
札;さつ;paper money
撮影;さつえい;photographing
雑音;ざつおん;noise (jarring, grating)
作家;さっか;author, writer, novelist, artist
作曲;さっきょく;composition, setting (of music) 
さっさと;さっさと;quickly
早速;さっそく;at once, immediately, without delay, promptly
ざっと;ざっと;roughly, in round numbers
さっぱり;さっぱり;feeling refreshed, feeling relieved, neat, trimmed
さて;さて;well, now, then 
砂漠;さばく;desert
錆;さび;rust (color)
錆びる;さびる;rust, become rusty
座布団;ざぶとん;cushion (Japanese-- square cushion used when sitting on one's knees on a tatami-mat floor)
差別;さべつ;discrimination, distinction, differentiation
作法;さほう;manners, etiquette, propriety
様々;さまざま;varied, various
冷ます;さます;cool, dampen, let cool, throw a damper on, spoil
覚ます;さます;awaken, disabuse, sober up
妨げる;さまたげる;disturb, prevent
冷める;さめる;become cool, wear off, abate, subside, dampen
覚める;さめる;wake, wake up
左右;さゆう;left and right, influence, control, domination
さようなら;さようなら;goodbye
皿;さら;plate, dish
再来月;さらいげつ;month after next
再来週;さらいしゅう;week after next
サラダ;サラダ;salad
更に;さらに;furthermore, again, after all, more and more, moreover
サラリーマン;サラリーマン;salary man, company employee
去る;さる;leave, go away
猿;さる;monkey
騒がしい;さわがしい;noisy
騒ぎ;さわぎ;uproar, disturbance
さわやか;さわやか;fresh, refreshing, invigorating, clear, fluent, eloquent
~山;~さん;mountain
~産;~さん;birth, product, property, asset
~様;~さん;person
参加;さんか;participation
三角;さんかく;triangle, triangular
産業;さんぎょう;industry
参考;さんこう;reference, consultation
算数;さんすう;arithmetic
賛成;さんせい;approval, agreement, support, favour
酸性;さんせい;acidity
酸素;さんそ;oxygen;
産地;さんち;producing area
サンプル;サンプル;sample
山林;さんりん;mountain forest, mountains and forest
市;し;market, fair
氏;し;family name, lineage
詩;し;poem, verse of poetry
~史;~し;history
~紙;~し;paper
~寺;~じ;temple
仕上がる;しあがる;be finished
しあさって;しあさって;(in) three days time (two days after tomorrow)
幸せ;しあわせ;happiness, good fortune, luck, blessing
シーズン;シーズン;season
シーツ;シーツ;sheet
寺院;じいん;temple
しいんと;しいんと;silent (as the grave), (deathly) quiet 
ジーンズ;ジーンズ;jeans
自衛;じえい;self-defense
ジェット機;ジェットき;jet airplane
塩辛い;しおからい;salty (flavor)
司会;しかい;chairmanship
四角;しかく;square
四角い;しかくい;square
しかたがない;しかたがない;it can't be helped, it's inevitable, it's no use, can't stand it, being impatient, being annoyed 
直に;じかに;directly, in person, headlong
しかも;しかも;moreover, furthermore, nevertheless, and yet
叱る;しかる;*scold;
~時間;~じかん;hours, (interval of) time
~時間目;~じかんめ;
時間割;じかんわり;timetable, schedule 
式;しき;equation, formula, ceremony
四季;しき;four seasons
直;じき;direct, in person, soon, at once, just, near by, honesty, frankness, simplicity, cheerfulness, correctness 
時期;じき;time, season, period
敷地;しきち;site
支給;しきゅう;payment, allowance
至急;しきゅう;urgent
しきりに;しきりに;frequently, repeatedly, incessantly, eagerly
敷く;しく;spread out, to lay out, take a position
刺激;しげき;stimulus, impetus, incentive, excitement, irritation, encouragement, motivation 
茂る;しげる;grow thick, luxuriate, be luxurious
資源;しげん;resources
事件;じけん;event, affair, incident, case, plot, trouble, scandal
時刻;じこく;instant, time, moment
自殺;じさつ;suicide
持参;じさん;bringing, taking, carrying
事実;じじつ;fact, truth, reality
磁石;じしゃく;magnet
四捨五入;ししゃごにゅう;rounding up (especially fractions) 
始終;しじゅう;continuously, from beginning to end
自習;じしゅう;self-study
支出;ししゅつ;expenditure, expenses
事情;じじょう;circumstances, consideration, conditions, situation, reasons
詩人;しじん;poet
自身;じしん;by oneself, personally
静まる;しずまる;calm down, subside, die down, abate, be suppressed 
沈む;しずむ;sink, feel depressed
姿勢;しせい;attitude, posture
自然科学;しぜんかがく;natural science
自然;しぜん;nature, spontaneous
思想;しそう;thought, idea, ideology
時速;じそく;speed (per hour)
子孫;しそん;descendants,, posterity, offspring
舌;した;tongue
死体;したい;corpse
次第;しだい;order, precedence, circumstances, immediate(ly), as soon as, dependent upon
事態;じたい;situation, present state of affairs, circumstances 
従う;したがう;abide (by the rules), obey, follow, accompany
下書き;したがき;rough copy, draft
したがって;したがって;therefore, consequently, in accordance with
支度;したく;preparation
自宅;じたく;one's home
親しい;したしい;intimate, close 
下町;したまち;Shitamachi, lower parts of town
自治;じち;self-government, autonomy
質;しつ;quality
室~;しつ~;room
~室;~しつ;room
~日;~じつ;day
実感;じっかん;feelings (actual, true)
失業;しつぎょう;unemployment
湿気;しっけ, しっき;moisture, humidity, dampness 
実験;じっけん;experiment
実現;じつげん;implementation, materialization, realization
しつこい;しつこい;insistent, obstinate
実行;じっこう;practice, performance, realization, execution (e.g. program)
実際;じっさい;practical, actual condition, status quo
実施;じっし;enforcement, enact, put into practice, carry out, operation
実習;じっしゅう;practice, training
実績;じっせき;achievements, actual results
湿度;しつど;level of humidity
じっと;じっと;fixedly, firmly, patiently, quietly
実に;じつに;indeed, truly, surely
実は;じつは;as a matter of fact, by the way;
執筆;しっぴつ;writing
実物;じつぶつ;real thing, original
しっぽ;しっぽ;
失望;しつぼう;disappointment, despair
実用;じつよう;practical use, utility
実力;じつりょく;merit, efficiency, arms, force
しつれいしました;しつれいしました;Excuse me (for what I did), I'm sorry
実例;じつれい;example, illustration
失恋;しつれん;disappointed love, broken heart, unrequited love, be lovelorn,
指定;してい;designation, specification, assignment, pointing at
私鉄;してつ;private railway
支店;してん;branch store (office)
指導;しどう;leadership, guidance, coaching
自動;じどう;automatic
児童;じどう;children, juvenile
品;しな;thing, article, goods, dignity, counter for meal courses
支配;しはい;rule, control, direction
芝居;しばい;play, drama
しばしば;しばしば;often, again and again, frequently 
芝生;しばふ;lawn
支払;しはらい;payment
支払う;しはらう;to pay
縛る;しばる;tie, bind
地盤;じばん;the ground
しびれる;しびれる;become numb
紙幣;しへい;paper money, notes, bills
死亡;しぼう;death, mortality
しぼむ;しぼむ;wither, fade (away), shrivel, wilt
絞る;しぼる;press, wring, squeeze 
資本;しほん;funds, capital
縞;しま;stripe
しまい;しまい;end, termination
姉妹;しまい;sisters
しまった;しまった;damn it!
自慢;じまん;pride, boast
地味;じみ;plain, simple
しみじみ;しみじみ;keenly, deeply, heartily 
市民;しみん;citizen, townspeople
事務;じむ;business, office work
氏名;しめい;full name, identity
締切;しめきり;closing, cut-off, end, deadline, Closed, No Entrance
締め切る;しめきる;shut up 
示す;しめす;show, indicate, denote, point out
しめた;しめた;I've got it, all right, fine 
占める;しめる;comprise, account for, constitute, hold, occupy
湿る;しめる;be wet, become wet, be damp
地面;じめん;ground, earth's surface
下;しも;lower, last
霜;しも;frost
~車;~しゃ;vehicle
~者;~しゃ;person
~社;~しゃ;company
ジャーナリスト;ジャーナリスト;journalist
社会科学;しゃかいかがく;social science
しゃがむ;しゃがむ;squat
蛇口;じゃぐち;faucet, tap
弱点;じゃくてん;weak point, weakness
車庫;しゃこ;garage
車掌;しゃしょう;(train) conductor
写生;しゃせい;sketch, drawing from nature, portrayal, description
社説;しゃせつ;editorial, leading article
借金;しゃっきん;debt, loan, liabilities
しゃっくり;しゃっくり;hiccough
シャッター;シャッター;shutter
しゃぶる;しゃぶる;suck, chew 
しゃべる;しゃべる;talk, chat, chatter
邪魔;じゃま;*obstacle, intrusion;
車輪;しゃりん;(car) wheel
洒落;しゃれ;frank, open-hearted
シャワー;シャワー;shower
じゃんけん;じゃんけん;rock-scissors-paper game
~手;~しゅ;hand, person
~酒;~しゅ;alcohol, wine, liquor
週;しゅう;week
州;しゅう;state, province
~集;~しゅう;collection, gathering
銃;じゅう;gun
重~;じゅう~;heavy, double, multiple
~重;~じゅう;-fold, -ply
~中;~じゅう;through, during, in, within
周囲;しゅうい;circumference, surroundings, environs
集会;しゅうかい;meeting, assembly
収穫;しゅうかく;harvest, crop, ingathering
住居;じゅうきょ;dwelling, house, residence, address 
宗教;しゅうきょう;religion
集金;しゅうきん;money collection
集合;しゅうごう;gathering, assembly, meeting, (mathematics) set
習字;しゅうじ;penmanship
重視;じゅうし;importance, stress, serious consideration
就職;しゅうしょく;finding employment, inauguration
ジュース;ジュース;juice, soft drink (both carbonated and uncarbonated), deuce
修正;しゅうせい;amendment, correction, revision
修繕;しゅうぜん;repair, mending
重体;じゅうたい;seriously ill, serious condition, critical state
渋滞;じゅうたい;congestion (e.g. traffic), delay, stagnation
重大;じゅうだい;serious, important, grave, weighty
住宅;じゅうたく;resident, housing
集団;しゅうだん;group, mass
じゅうたん;じゅうたん;carpet
集中;しゅうちゅう;concentration, focusing the mind
終点;しゅうてん;terminus, last stop (e.g train)
重点;じゅうてん;important point, lay stress on, emphasis, colon
収入;しゅうにゅう;income, receipts, revenue
就任;しゅうにん;inauguration;
周辺;しゅうへん;circumference, outskirts, environs, (computer) peripheral
住民;じゅうみん;citizens, inhabitants, residents, population
重役;じゅうやく;heavy responsibilities, director
重要;じゅうよう;important, momentous, essential, principal, major
修理;しゅうり;repairing, mending
終了;しゅうりょう;end, close, termination
重量;じゅうりょう;weight, heavyweight boxer
重力;じゅうりょく;gravity
主義;しゅぎ;doctrine, rule, principle;
熟語;じゅくご;idiom, idiomatic phrase, kanji compound
祝日;しゅくじつ;national holiday
縮小;しゅくしょう;reduction, curtailment
宿泊;しゅくはく;lodging
受験;じゅけん;taking an examination
主語;しゅご;(grammar) subject
手術;しゅじゅつ;surgical operation
首相;しゅしょう;Prime Minister, Chancellor (Germany, Austria, etc.)
主人;しゅじん;master, head (of a household), landlord, one's husband, employer, host 
手段;しゅだん;means, way, measure
主張;しゅちょう;claim, request, insistence, assertion, advocacy, emphasis, contention, opinion, tenet
出勤;しゅっきん;going to work, at work
述語;じゅつご;predicate
出場;しゅつじょう;(stage) appearance, participation, performance
出身;しゅっしん;person's place of origin, institution from which one graduated, director in charge of employee relations
出張;しゅっちょう;official tour, business trip
出版;しゅっぱん;publication
首都;しゅと;capital city
主婦;しゅふ;housewife, mistress
寿命;じゅみょう;life span
主役;しゅやく;leading part, leading actor or actress 
主要;しゅよう;chief, main, principal, major
需要;じゅよう;demand, request
種類;しゅるい;variety, kind, type, category, counter for different sorts of things
受話器;じゅわき;telephone receiver
順;じゅん;order, turn
瞬間;しゅんかん;moment, second, instant
循環;じゅんかん;circulation, rotation, cycle
巡査;じゅんさ;police, policeman
順々;じゅんじゅん;in order, in turn
順序;じゅんじょ;order, sequence, procedure
純情;じゅんじょう;pure heart, naivete, self-sacrificing devotion
純粋;じゅんすい;pure, true, genuine, unmixed
順調;じゅんちょう;favourable, doing well, O.K., all right
順番;じゅんばん;turn (in line), order of things
初~;しょ~;
諸~;しょ~;
~所;~しょ;
~所;~じょ;
女~;じょ~;
~女;~じょ;
使用;しよう;use, employment
小;しょう;small
章;しょう;chapter, section, medal
賞;しょう;prize, award
省~;しょう~;
~省;~しょう;department, ministry
~商;~しょう;
~勝;~しょう;
上;じょう;first volume, superior quality, top, best, high class, going up
~状;~じょう;
~場;~じょう;
~畳;~じょう;
消化;しょうか;digestion
障害;しょうがい;obstacle, impediment (fault), damage
奨学金;しょうがくきん;scholarship
小学生;しょうがくせい;grade school student
しょうがない;しょうがない;
将棋;しょうぎ;Japanese chess
蒸気;じょうき;steam, vapour
定規;じょうぎ;(measuring) ruler
乗客;じょうきゃく;passenger
上級;じょうきゅう;advanced level, high grade, senior
商業;しょうぎょう;commerce, trade, business
上京;じょうきょう;proceeding to the capital (Tokyo)
状況;じょうきょう;state of affairs (around you), situation, circumstances
消極的;しょうきょくてき;passive
賞金;しょうきん;prize, monetary award
上下;じょうげ;high and low, up and down, unloading and loading, praising and blaming
条件;じょうけん;conditions, terms
正午;しょうご;noon, mid-day
障子;しょうじ;paper sliding door
正直;しょうじき;honesty, integrity, frankness
常識;じょうしき;common sense
商社;しょうしゃ;trading company, firm
乗車;じょうしゃ;taking a train
上旬;じょうじゅん;first 10 days of month
少女;しょうじょ;daughter, young lady, virgin, maiden, little girl
少々;しょうしょう;just a minute, small quantity 
症状;しょうじょう;symptoms, condition
生じる;しょうじる;produce, yield, result from, arise, be generated
生ずる;しょうずる;cause, arise, be generated
小数;しょうすう;fraction (part of), decimal
状態;じょうたい;current status, condition, situation, circumstances, state
上達;じょうたつ;improvement, advance, progress
冗談;じょうだん;jest, joke
商店;しょうてん;shop, business firm
焦点;しょうてん;focus, point
上等;じょうとう;superiority, first-class, very good
消毒;しょうどく;disinfection, sterilization
衝突;しょうとつ;collision, conflict
商人;しょうにん;trader, shopkeeper, merchant
承認;しょうにん;recognition, acknowledgement, approval, consent, agreement
少年;しょうねん;boys, juveniles
勝敗;しょうはい;victory or defeat, issue (of battle)
商売;しょうばい;trade, business, commerce, transaction, occupation
蒸発;じょうはつ;evaporation, unexplained disappearance
消費;しょうひ;consumption, expenditure
商品;しょうひん;commodity, goods, stock, merchandise
賞品;しょうひん;prize, trophy
上品;じょうひん;elegant, refined, polished
勝負;しょうぶ;victory or defeat, match, contest, game, bout;
小便;しょうべん;(colloquial) urine
消防;しょうぼう;fire fighting, fire department
消防署;しょうぼうしょ;fire station
情報;じょうほう;information, news, (military) intelligence, gossip
正味;しょうみ;net (weight)
証明;しょうめい;proof, verification
正面;しょうめん;front, frontage, facade, main
消耗;しょうもう;exhaustion, consumption 
醤油;しょうゆ;soy sauce
省略;しょうりゃく;omission, abbreviation, abridgment
女王;じょおう;queen
初級;しょきゅう;elementary level
助教授;じょきょうじゅ;assistant professor
職;しょく;employment
~色;~しょく;color
食塩;しょくえん;table salt
職業;しょくぎょう;occupation, business
食卓;しょくたく;dining table
職人;しょくにん;worker, mechanic, artisan, craftsman
職場;しょくば;one's post, place of work, workplace
食品;しょくひん;commodity, foodstuff
植物;しょくぶつ;plant, vegetation
食物;しょくもつ;food, foodstuff
食欲;しょくよく;appetite (for food)
食料;しょくりょう;food
食糧;しょくりょう;provisions, rations
書斎;しょさい;study
女子;じょし;woman, girl
助手;じょしゅ;helper, assistant, tutor 
初旬;しょじゅん;first 10 days of the month
徐々に;じょじょに;slowly, little by little, gradually, steadily, quietly 
書籍;しょせき;book, publication
食器;しょっき;tableware
ショップ;ショップ;shop
書店;しょてん;bookstore
書道;しょどう;calligraphy
初歩;しょほ;elements, rudiments, ABCs of ... 
署名;しょめい;signature
書物;しょもつ;books
女優;じょゆう;actress
処理;しょり;processing, dealing with, treatment, disposition, disposal
書類;しょるい;documents, official papers
白髪;しらが;white or grey hair, trendy hair bleaching 
知らせ;しらせ;notice
尻;しり;buttocks, bottom
知(り)合い;しりあい;acquaintance
シリーズ;シリーズ;series
私立;しりつ;private (establishment)
資料;しりょう;materials, data
汁;しる;juice, sap, soup, broth
印;しるし;seal, stamp, mark, print
白;しろ;white
城;しろ;castle
素人;しろうと;amateur, novice
しわ;しわ;wrinkles, creases
芯;しん;core, heart, wick, marrow 
~人;~じん;person
進学;しんがく;going on to university
新幹線;しんかんせん;bullet train
真空;しんくう;vacuum, hollow, empty
神経;しんけい;nerve, sensitivity
真剣;しんけん;seriousness, earnestness
信仰;しんこう;(religious) faith, belief, creed
信号;しんごう;traffic lights, signal, semaphore
人工;じんこう;artificial, man-made, human work, human skill, artificiality
深刻;しんこく;serious
診察;しんさつ;medical examination
人事;じんじ;personnel affairs, human affairs
人種;じんしゅ;race (of people)
信じる;しんじる;believe, believe in, place trust in, confide in, have faith in
信ずる;しんずる;believe, believe in, place trust in, confide in, have faith in
心身;しんしん;mind and body
申請;しんせい;application, request, petition
人生;じんせい;(human) life (i.e. conception to death)
親戚;しんせき;relative
新鮮;しんせん;fresh
心臓;しんぞう;heart
人造;じんぞう;man-made, synthetic, artificial
身体;しんたい;body, health 
寝台;しんだい;bed, couch 
診断;しんだん;diagnosis
身長;しんちょう;height (of body), stature
慎重;しんちょう;discretion, prudence
侵入;しんにゅう;penetration, invasion, raid, aggression, trespass
審判;しんぱん;refereeing, trial, judgement, umpire, referee
人物;じんぶつ;character, personality, person, man, personage, talented man
人文科学;じんぶんかがく;social sciences, humanities
進歩;しんぽ;progress, development
人命;じんめい;(human) life
深夜;しんや;late at night
親友;しんゆう;close friend
信用;しんよう;confidence, dependence, credit, faith, reliance, belief, credence
信頼;しんらい;reliance, trust, confidence
心理;しんり;mentality
森林;しんりん;forest, woods
親類;しんるい;relation, kin
人類;じんるい;mankind, humanity
針路;しんろ;course, direction, compass bearing
神話;しんわ;myth, legend
巣;す;nest, rookery, breeding place, beehive, cobweb, den
酢;す;vinegar
図;ず;drawing, picture, illustration
水産;すいさん;marine products, fisheries
炊事;すいじ;cooking, culinary arts
水準;すいじゅん;water level, level, standard
水蒸気;すいじょうき;water vapour, steam
推薦;すいせん;recommendation
